Sl_No,Name,Release_Year,Duration,Certificate,Rating,Votes,Director,Stars,Description
167,"Three Billboards Outside Ebbing, Missouri",2017,115,15,8.1,529522,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
168,Trainspotting,1996,93,18,8.1,704051,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
169,The Bridge on the River Kwai,1957,161,U,8.1,226704,David Lean,"William Holden, Alec Guinness, Jack Hawkins","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
170,Fargo,1996,98,18,8.1,696117,Joel Coen,"William H. Macy, Frances McDormand, Steve Buscemi",Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
171,Warrior,2011,140,12A,8.1,483773,Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
172,Gran Torino,2008,116,15,8.1,792768,Clint Eastwood,"Clint Eastwood, Bee Vang, Christopher Carley","After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
173,Catch Me If You Can,2002,141,12A,8.1,1030699,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
174,My Neighbour Totoro,1988,86,U,8.1,355944,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
175,Million Dollar Baby,2004,132,12A,8.1,702589,Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman","Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
176,Children of Heaven,1997,89,PG,8.2,77294,Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
177,Klaus,2019,96,PG,8.2,168222,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
178,Harry Potter and the Deathly Hallows: Part 2,2011,130,12A,8.1,906545,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
179,Blade Runner,1982,117,AA,8.1,792634,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
180,The Gold Rush,1925,95,U,8.1,114525,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray","A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
181,12 Years a Slave,2013,134,15,8.1,719024,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
182,Before Sunrise,1995,101,15,8.1,322934,Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
183,The Grand Budapest Hotel,2014,99,15,8.1,845999,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
184,Ben-Hur,1959,212,A,8.1,246191,William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd","After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
185,Gone Girl,2014,149,18,8.1,1015284,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
186,On the Waterfront,1954,108,A,8.1,159362,Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb","An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
187,Barry Lyndon,1975,185,A,8.1,174954,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
188,The General,1926,78,U,8.1,94485,Clyde Bruckman,"Buster Keaton, Marion Mack, Glen Cavender","After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
189,In the Name of the Father,1993,133,15,8.1,180794,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
190,Wild Strawberries,1957,91,A,8.1,110651,Ingmar Bergman,"Victor Sjöström, Bibi Andersson, Ingrid Thulin","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
191,Hacksaw Ridge,2016,139,15,8.1,555608,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
192,The Deer Hunter,1978,183,X,8.1,348366,Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale",An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
193,The Third Man,1949,104,A,8.1,176170,Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
194,Memories of Murder,2003,131,15,8.1,198345,Bong Joon Ho,"Song Kang-ho, Kim Sang-kyung, Roe-ha Kim","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
195,The Wages of Fear,1953,131,A,8.2,63600,Henri-Georges Clouzot,"Yves Montand, Charles Vanel, Peter van Eyck","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
196,Sherlock Jr.,1924,45,U,8.2,53047,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
197,Wild Tales,2014,122,15,8.1,206789,Damián Szifron,"Darío Grandinetti, María Marull, Mónica Villa",Six short stories that explore the extremities of human behavior involving people in distress.
198,Mad Max: Fury Road,2015,120,15,8.1,1036522,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
199,Mr. Smith Goes to Washington,1939,129,U,8.1,118123,Frank Capra,"James Stewart, Jean Arthur, Claude Rains","A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
200,Dead Poets Society,1989,128,PG,8.1,514125,Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke",Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
201,Mary and Max,2009,92,12A,8.1,181646,Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Eric Bana","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
202,"Monsters, Inc.",2001,92,U,8.1,938426,Pete Docter,"Billy Crystal, John Goodman, Mary Gibbs","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
203,How to Train Your Dragon,2010,98,PG,8.1,766641,Dean DeBlois,"Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
204,Jaws,1975,124,A,8.1,630071,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
205,The Seventh Seal,1957,96,X,8.1,190968,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot","A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
206,Room,2015,118,15,8.1,434142,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
207,Tokyo Story,1953,136,U,8.2,64666,Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura","An old couple visit their children and grandchildren in the city, but receive little attention."
208,The Big Lebowski,1998,117,18,8.1,831210,Joel Coen,"Jeff Bridges, John Goodman, Julianne Moore","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
209,Le Mans '66,2019,152,12A,8.1,425354,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
210,The Passion of Joan of Arc,1928,110,A,8.2,57742,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
211,Ratatouille,2007,111,U,8.1,774354,Brad Bird,"Brad Garrett, Lou Romano, Patton Oswalt",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
212,Hotel Rwanda,2004,121,12A,8.1,363199,Terry George,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
213,Rocky,1976,120,12,8.1,602739,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
214,Platoon,1986,120,15,8.1,425169,Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
215,Logan,2017,137,15,8.1,793825,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
216,Spotlight,2015,129,15,8.1,484784,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
217,The Terminator,1984,107,18,8.1,891247,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
218,Jai Bhim,2021,164,,8.8,208087,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K.","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
219,Before Sunset,2004,80,15,8.1,275788,Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
220,Rush,2013,123,15,8.1,493904,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
221,Network,1976,121,AA,8.1,164329,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch","A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
222,Stand by Me,1986,89,15,8.1,420419,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
223,Guardians of the Galaxy Vol. 3,2023,150,12A,8.1,210235,James Gunn,"Chris Pratt, Chukwudi Iwuji, Bradley Cooper","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
224,The Best Years of Our Lives,1946,170,U,8.1,67621,William Wyler,"Myrna Loy, Dana Andrews, Fredric March","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
225,Into the Wild,2007,148,15,8.1,637846,Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
226,The Wizard of Oz,1939,102,A,8.1,412657,Victor Fleming,"Judy Garland, Frank Morgan, Ray Bolger","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
227,La haine,1995,98,15,8.1,183146,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",24 hours in the lives of three young men in the French suburbs the day after a violent riot.
228,The Incredibles,2004,115,U,8,768340,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter","While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
229,The Exorcist,1973,122,X,8.1,424349,William Friedkin,"Ellen Burstyn, Max von Sydow, Linda Blair","When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
230,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,12A,8.1,1160937,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
231,To Be or Not to Be,1942,99,U,8.2,40093,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
232,Groundhog Day,1993,101,PG,8,654968,Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott","A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
233,My Father and My Son,2005,112,PG,8.2,88852,Çagan Irmak,"Çetin Tekindor, Fikret Kuskan, Hümeyra",The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
234,The Battle of Algiers,1966,121,X,8.1,62860,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saadi","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
235,The Grapes of Wrath,1940,129,A,8.1,96708,John Ford,"Henry Fonda, Jane Darwell, John Carradine","An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
236,Hachi: A Dog's Tale,2009,93,U,8.1,297017,Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa",A college professor bonds with an abandoned dog he takes into his home.
237,The Handmaiden,2016,145,18,8.1,159007,Park Chan-wook,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
238,Pather Panchali,1955,125,U,8.2,35484,Satyajit Ray,"Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee","Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
239,Amores perros,2000,154,18,8.1,246385,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
240,Rebecca,1940,130,A,8.1,141548,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
241,Cool Hand Luke,1967,127,A,8.1,182836,Stuart Rosenberg,"Paul Newman, George Kennedy, Strother Martin","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
242,The Sound of Music,1965,172,U,8.1,246329,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker",A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
243,It Happened One Night,1934,105,A,8.1,107955,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly","A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
244,The 400 Blows,1959,99,A,8.1,122943,François Truffaut,"Jean-Pierre Léaud, Albert Rémy, Claire Maurier","A young boy, left without attention, delves into a life of petty crime."
245,Persona,1966,85,X,8.1,124641,Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margaretha Krook",A nurse is put in charge of a mute actress and finds that their personae are melding together.
246,The Iron Giant,1999,86,U,8.1,211896,Brad Bird,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
247,The Help,2011,146,12A,8.1,475038,Tate Taylor,"Viola Davis, Emma Stone, Octavia Spencer","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
248,Life of Brian,1979,94,AA,8,410857,Terry Jones,"Graham Chapman, John Cleese, Michael Palin","Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
249,Aladdin,1992,90,U,8,441395,Ron Clements,"Scott Weinger, Robin Williams, Linda Larkin",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
250,Dances with Wolves,1990,181,12,8,278413,Kevin Costner,"Kevin Costner, Mary McDonnell, Graham Greene","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
